champion,name,stat,old,new,delta,pct_change,from_patch,to_patch
Aphelios,Aphelios,attackspeed,0.64,0.665,0.025,3.91,15.11.1,15.12.1
Aurora,Aurora,spellblock,30.0,32.0,2.0,6.67,15.11.1,15.12.1
Azir,Azir,movespeed,335.0,330.0,-5.0,-1.49,15.11.1,15.12.1
Azir,Azir,attackspeedperlevel,6.0,5.5,-0.5,-8.33,15.11.1,15.12.1
Bard,Bard,movespeed,330.0,335.0,5.0,1.52,15.11.1,15.12.1
Gwen,Gwen,hp,620.0,600.0,-20.0,-3.23,15.11.1,15.12.1
Kalista,Kalista,hp,580.0,560.0,-20.0,-3.45,15.11.1,15.12.1
Rammus,Rammus,armor,40.0,35.0,-5.0,-12.5,15.11.1,15.12.1
Rammus,Rammus,armorperlevel,5.5,4.5,-1.0,-18.18,15.11.1,15.12.1
Rammus,Rammus,attackdamage,55.0,65.0,10.0,18.18,15.11.1,15.12.1
Rammus,Rammus,attackspeed,0.656,0.7,0.044,6.71,15.11.1,15.12.1
Taliyah,Taliyah,spellblock,30.0,28.0,-2.0,-6.67,15.11.1,15.12.1
Varus,Varus,armor,27.0,24.0,-3.0,-11.11,15.11.1,15.12.1
