patch,champion,role,games,winrate
15.15,Akshan,BOT,2,0.5
15.15,Ziggs,BOT,1,1.0
15.15,Hwei,BOT,1,0.0
15.15,Rammus,JUNGLE,1,1.0
15.15,Warwick,JUNGLE,1,0.0
15.15,Diana,JUNGLE,1,1.0
15.15,Kayn,JUNGLE,1,0.0
15.15,Vladimir,MID,2,0.5
15.15,Zed,MID,1,1.0
15.15,Qiyana,MID,1,0.0
15.15,Soraka,SUPPORT,1,1.0
15.15,Blitzcrank,SUPPORT,1,0.0
15.15,Braum,SUPPORT,1,1.0
15.15,Nautilus,SUPPORT,1,0.0
15.15,Gwen,TOP,1,1.0
15.15,Neeko,TOP,1,0.0
15.15,Vayne,TOP,1,1.0
15.15,Gnar,TOP,1,0.0
15.17,Twitch,BOT,2,0.5
15.17,Lucian,BOT,2,0.5
15.17,Tristana,BOT,1,1.0
15.17,Draven,BOT,1,0.0
15.17,KogMaw,BOT,1,0.0
15.17,Ashe,BOT,1,1.0
15.17,MissFortune,BOT,1,1.0
15.17,Jinx,BOT,1,0.0
15.17,Rengar,JUNGLE,3,0.6667
15.17,Hecarim,JUNGLE,1,0.0
15.17,MonkeyKing,JUNGLE,1,1.0
15.17,Belveth,JUNGLE,1,1.0
15.17,Briar,JUNGLE,1,0.0
15.17,Sylas,JUNGLE,1,0.0
15.17,Nautilus,JUNGLE,1,1.0
15.17,Shaco,JUNGLE,1,0.0
15.17,Akshan,MID,2,1.0
15.17,Syndra,MID,1,1.0
15.17,Viktor,MID,1,0.0
15.17,Swain,MID,1,1.0
15.17,Vladimir,MID,1,0.0
15.17,Zed,MID,1,0.0
15.17,Cassiopeia,MID,1,1.0
15.17,Viego,MID,1,0.0
15.17,Akali,MID,1,0.0
15.17,Lulu,SUPPORT,4,0.25
15.17,Alistar,SUPPORT,1,1.0
15.17,Milio,SUPPORT,1,0.0
15.17,Senna,SUPPORT,1,1.0
15.17,Neeko,SUPPORT,1,0.0
15.17,Karma,SUPPORT,1,1.0
15.17,Nami,SUPPORT,1,1.0
15.17,Sion,TOP,2,0.0
15.17,Aatrox,TOP,2,0.0
15.17,Olaf,TOP,1,1.0
15.17,Ornn,TOP,1,0.0
15.17,Sett,TOP,1,1.0
15.17,Ivern,TOP,1,1.0
15.17,Tryndamere,TOP,1,1.0
15.17,Rengar,TOP,1,1.0
15.18,Smolder,BOT,1,1.0
15.18,Vayne,BOT,1,0.0
15.18,Viego,JUNGLE,1,1.0
15.18,RekSai,JUNGLE,1,0.0
15.18,Morgana,MID,1,1.0
15.18,Yasuo,MID,1,0.0
15.18,Thresh,SUPPORT,1,1.0
15.18,Nami,SUPPORT,1,0.0
15.18,Gangplank,TOP,1,1.0
15.18,Darius,TOP,1,0.0
15.23,Twitch,BOT,1,0.0
15.23,Zeri,BOT,1,1.0
15.23,Karthus,JUNGLE,1,0.0
15.23,Khazix,JUNGLE,1,1.0
15.23,Yone,MID,1,0.0
15.23,Akshan,MID,1,1.0
15.23,Velkoz,SUPPORT,1,0.0
15.23,Karma,SUPPORT,1,1.0
15.23,Zaahen,TOP,1,0.0
15.23,Urgot,TOP,1,1.0
16.1,Smolder,BOT,11,0.8182
16.1,Lucian,BOT,3,0.3333
16.1,Corki,BOT,3,0.6667
16.1,Jinx,BOT,3,0.3333
16.1,Vayne,BOT,2,0.5
