patch,champion,role,games,winrate
16.10,Ashe,BOT,99,0.4747
16.10,Ezreal,BOT,88,0.4659
16.10,Smolder,BOT,72,0.5556
16.10,Jhin,BOT,70,0.4571
16.10,Caitlyn,BOT,58,0.4655
16.10,Lucian,BOT,43,0.3953
16.10,Kaisa,BOT,42,0.5
16.10,Senna,BOT,40,0.575
16.10,Jinx,BOT,36,0.5278
16.10,Draven,BOT,33,0.3636
16.10,Zeri,BOT,33,0.5152
16.10,Yunara,BOT,31,0.5161
16.10,Tristana,BOT,30,0.6667
16.10,Vayne,BOT,29,0.5862
16.10,Sivir,BOT,23,0.5652
16.10,Twitch,BOT,23,0.4783
16.10,Samira,BOT,22,0.4091
16.10,MissFortune,BOT,21,0.4286
16.10,Xayah,BOT,21,0.4286
16.10,Brand,BOT,20,0.55
16.10,Varus,BOT,19,0.4211
16.10,Ziggs,BOT,19,0.5789
16.10,Aphelios,BOT,17,0.5294
16.10,Vladimir,BOT,16,0.6875
16.10,Seraphine,BOT,14,0.5
16.10,Lux,BOT,13,0.3846
16.10,Yasuo,BOT,11,0.3636
16.10,Mel,BOT,10,0.5
16.10,Corki,BOT,9,0.2222
16.10,Hwei,BOT,9,0.4444
16.10,Veigar,BOT,8,0.375
16.10,KogMaw,BOT,7,0.5714
16.10,AurelionSol,BOT,6,0.6667
16.10,Velkoz,BOT,6,1.0
16.10,Ahri,BOT,6,0.6667
16.10,TahmKench,BOT,5,0.4
16.10,Xerath,BOT,5,1.0
16.10,Cassiopeia,BOT,4,0.75
16.10,Swain,BOT,4,0.25
16.10,Kalista,BOT,4,0.75
16.10,Zyra,BOT,4,0.25
16.10,Kennen,BOT,3,0.6667
16.10,Nilah,BOT,3,0.6667
16.10,Karthus,BOT,2,0.5
16.10,Yone,BOT,1,1.0
16.10,Ekko,BOT,1,1.0
16.10,Ivern,BOT,1,1.0
16.10,Viktor,BOT,1,0.0
16.10,Zilean,BOT,1,0.0
16.10,Katarina,BOT,1,1.0
16.10,Sona,BOT,1,0.0
16.10,Akshan,BOT,1,1.0
16.10,Olaf,BOT,1,0.0
16.10,Irelia,BOT,1,0.0
16.10,Syndra,BOT,1,0.0
16.10,Zed,BOT,1,1.0
16.10,Udyr,BOT,1,0.0
16.10,Viego,BOT,1,1.0
16.10,Riven,BOT,1,1.0
16.10,Zoe,BOT,1,1.0
16.10,Heimerdinger,BOT,1,1.0
16.10,Sylas,BOT,1,0.0
16.10,Chogath,BOT,1,1.0
16.10,Graves,JUNGLE,66,0.4697
16.10,LeeSin,JUNGLE,53,0.566
16.10,Ambessa,JUNGLE,37,0.5135
16.10,JarvanIV,JUNGLE,35,0.5143
16.10,Kayn,JUNGLE,35,0.5714
16.10,MonkeyKing,JUNGLE,33,0.6061
16.10,Viego,JUNGLE,33,0.6061
16.10,Talon,JUNGLE,32,0.4062
16.10,Khazix,JUNGLE,32,0.4688
16.10,Nocturne,JUNGLE,31,0.5484
16.10,Ivern,JUNGLE,30,0.6333
16.10,Udyr,JUNGLE,29,0.3793
16.10,MasterYi,JUNGLE,28,0.3929
16.10,XinZhao,JUNGLE,27,0.6296
16.10,Hecarim,JUNGLE,24,0.375
16.10,Nunu,JUNGLE,24,0.5
16.10,Belveth,JUNGLE,22,0.4545
16.10,Ekko,JUNGLE,22,0.3636
16.10,Shaco,JUNGLE,22,0.2727
16.10,Sylas,JUNGLE,21,0.4762
16.10,Shyvana,JUNGLE,21,0.4762
16.10,Karthus,JUNGLE,19,0.3158
16.10,Rengar,JUNGLE,19,0.7368
16.10,Kindred,JUNGLE,18,0.5556
16.10,Naafiri,JUNGLE,18,0.3333
16.10,Briar,JUNGLE,18,0.4444
16.10,RekSai,JUNGLE,17,0.5882
16.10,Lillia,JUNGLE,16,0.5625
16.10,Vi,JUNGLE,16,0.5
16.10,Diana,JUNGLE,16,0.4375
16.10,Jayce,JUNGLE,13,0.5385
16.10,Warwick,JUNGLE,13,0.5385
16.10,Elise,JUNGLE,13,0.6154
16.10,Zac,JUNGLE,12,0.25
16.10,Evelynn,JUNGLE,12,0.5833
16.10,Qiyana,JUNGLE,12,0.6667
16.10,Nidalee,JUNGLE,12,0.5833
16.10,FiddleSticks,JUNGLE,11,0.5455
16.10,Amumu,JUNGLE,10,0.2
16.10,Zed,JUNGLE,8,0.375
16.10,Volibear,JUNGLE,7,0.5714
16.10,Darius,JUNGLE,7,0.7143
16.10,Rammus,JUNGLE,7,0.5714
16.10,Zyra,JUNGLE,7,1.0
16.10,Skarner,JUNGLE,7,0.4286
16.10,Aatrox,JUNGLE,6,0.0
16.10,Sejuani,JUNGLE,6,0.5
16.10,Pantheon,JUNGLE,6,0.3333
16.10,Jax,JUNGLE,5,0.6
16.10,Zaahen,JUNGLE,5,0.2
16.10,Quinn,JUNGLE,5,0.0
16.10,Nasus,JUNGLE,5,0.4
16.10,Olaf,JUNGLE,4,0.75
16.10,Morgana,JUNGLE,4,0.25
16.10,Fizz,JUNGLE,4,0.5
16.10,Singed,JUNGLE,4,0.25
16.10,Vayne,JUNGLE,4,0.75
16.10,Trundle,JUNGLE,3,0.3333
16.10,DrMundo,JUNGLE,3,0.6667
16.10,Rumble,JUNGLE,3,0.6667
16.10,Brand,JUNGLE,3,0.3333
16.10,Riven,JUNGLE,2,1.0
16.10,Taliyah,JUNGLE,2,1.0
16.10,Gragas,JUNGLE,2,1.0
16.10,Gwen,JUNGLE,2,0.5
16.10,Malphite,JUNGLE,2,1.0
16.10,Shen,JUNGLE,2,0.5
16.10,Chogath,JUNGLE,1,0.0
16.10,Gnar,JUNGLE,1,1.0
16.10,Kaisa,JUNGLE,1,0.0
16.10,Teemo,JUNGLE,1,1.0
16.10,Garen,JUNGLE,1,0.0
16.10,Mordekaiser,JUNGLE,1,1.0
16.10,Tryndamere,JUNGLE,1,1.0
16.10,Nautilus,JUNGLE,1,0.0
16.10,Kayle,JUNGLE,1,1.0
16.10,Zeri,JUNGLE,1,1.0
16.10,Sett,JUNGLE,1,1.0
16.10,Yasuo,MID,47,0.4894
16.10,Ahri,MID,45,0.6
16.10,Yone,MID,39,0.4359
16.10,Viktor,MID,38,0.3947
16.10,Akali,MID,37,0.5405
16.10,Sylas,MID,35,0.4857
16.10,Katarina,MID,34,0.5
16.10,Ekko,MID,34,0.5294
16.10,TwistedFate,MID,33,0.6364
16.10,Zed,MID,33,0.4242
16.10,Vladimir,MID,30,0.5667
16.10,Malzahar,MID,30,0.4
16.10,Orianna,MID,25,0.44
16.10,Lux,MID,25,0.52
16.10,Galio,MID,24,0.5417
16.10,Fizz,MID,24,0.5417
16.10,Lissandra,MID,23,0.4348
16.10,Riven,MID,23,0.6522
16.10,Syndra,MID,21,0.5238
16.10,Hwei,MID,19,0.4211
16.10,Aurora,MID,18,0.5556
16.10,Irelia,MID,18,0.6111
16.10,Ryze,MID,18,0.3333
16.10,Xerath,MID,17,0.5294
16.10,Veigar,MID,16,0.5625
16.10,Taliyah,MID,16,0.6875
16.10,Qiyana,MID,14,0.5
16.10,Akshan,MID,14,0.4286
16.10,Vex,MID,13,0.3846
16.10,Kassadin,MID,13,0.5385
16.10,Diana,MID,13,0.5385
16.10,Anivia,MID,12,0.5
16.10,Zoe,MID,12,0.4167
16.10,Cassiopeia,MID,12,0.5
16.10,Naafiri,MID,11,0.4545
16.10,XinZhao,MID,11,0.8182
16.10,AurelionSol,MID,10,0.5
16.10,Jayce,MID,9,0.5556
16.10,Talon,MID,9,0.5556
16.10,Azir,MID,9,0.6667
16.10,Mel,MID,9,0.4444
16.10,Annie,MID,9,0.5556
16.10,Nasus,MID,9,0.6667
16.10,Kayle,MID,8,0.375
16.10,Pantheon,MID,7,0.7143
16.10,Swain,MID,7,0.4286
16.10,Malphite,MID,6,0.6667
16.10,Smolder,MID,5,0.4
16.10,Seraphine,MID,5,0.0
16.10,Garen,MID,5,0.6
16.10,Velkoz,MID,5,0.6
16.10,Chogath,MID,5,0.4
16.10,Leblanc,MID,5,0.8
16.10,Gragas,MID,5,0.2
16.10,Morgana,MID,4,0.0
16.10,Corki,MID,4,0.25
16.10,Tryndamere,MID,4,0.25
16.10,Karma,MID,3,0.3333
16.10,Ezreal,MID,3,0.3333
16.10,Quinn,MID,3,0.6667
16.10,Caitlyn,MID,3,0.3333
16.10,Rumble,MID,3,0.3333
16.10,Sion,MID,3,1.0
16.10,Poppy,MID,3,0.0
16.10,Gwen,MID,2,1.0
16.10,Renekton,MID,2,0.0
16.10,MasterYi,MID,2,0.0
16.10,Viego,MID,2,0.5
16.10,Udyr,MID,2,0.0
16.10,Brand,MID,2,0.0
16.10,Zilean,MID,2,0.0
16.10,Zac,MID,2,0.5
16.10,Twitch,MID,1,0.0
16.10,Kled,MID,1,0.0
16.10,Teemo,MID,1,1.0
16.10,MonkeyKing,MID,1,1.0
16.10,MissFortune,MID,1,0.0
16.10,Sivir,MID,1,0.0
16.10,Heimerdinger,MID,1,0.0
16.10,Yorick,MID,1,1.0
16.10,Shyvana,MID,1,0.0
16.10,Ambessa,MID,1,0.0
16.10,Vayne,MID,1,0.0
16.10,Illaoi,MID,1,1.0
16.10,Camille,MID,1,1.0
16.10,Nocturne,MID,1,1.0
16.10,Urgot,MID,1,1.0
16.10,Karthus,MID,1,0.0
16.10,Rengar,MID,1,0.0
16.10,Briar,MID,1,0.0
16.10,Draven,MID,1,1.0
16.10,Ziggs,MID,1,1.0
16.10,Ornn,MID,1,0.0
16.10,Jhin,MID,1,0.0
16.10,Lucian,MID,1,0.0
16.10,Singed,MID,1,0.0
16.10,Aatrox,MID,1,0.0
16.10,Tristana,MID,1,1.0
16.10,Zeri,MID,1,1.0
16.10,Neeko,MID,1,1.0
16.10,Lulu,MID,1,0.0
16.10,Kaisa,MID,1,1.0
