champion,role,games,max_first,max_first_share,q,w,e
Caitlyn,BOT,497,Q,0.998,496,1,0
Jhin,BOT,465,Q,0.994,462,3,0
Ezreal,BOT,426,Q,1.0,426,0,0
Jinx,BOT,391,Q,1.0,391,0,0
Senna,BOT,384,Q,1.0,384,0,0
Ashe,BOT,351,W,0.96,14,337,0
Lucian,BOT,311,Q,0.997,310,1,0
Kaisa,BOT,262,Q,0.989,259,3,0
Tristana,BOT,234,E,0.983,3,1,230
Draven,BOT,229,Q,1.0,229,0,0
MissFortune,BOT,209,Q,0.986,206,2,1
Seraphine,BOT,197,Q,0.97,191,0,6
Aphelios,BOT,187,Q,0.77,144,7,36
Yunara,BOT,178,Q,1.0,178,0,0
Smolder,BOT,177,Q,1.0,177,0,0
Zeri,BOT,158,E,0.728,32,11,115
Sivir,BOT,150,Q,0.94,141,9,0
Ziggs,BOT,143,Q,1.0,143,0,0
Twitch,BOT,138,E,0.971,4,0,134
Vayne,BOT,134,Q,0.993,133,1,0
Samira,BOT,130,Q,1.0,130,0,0
Xayah,BOT,121,E,0.983,1,1,119
Hwei,BOT,106,Q,1.0,106,0,0
Mel,BOT,100,Q,0.99,99,0,1
Brand,BOT,84,W,0.917,0,77,7
Yasuo,BOT,77,Q,1.0,77,0,0
Lux,BOT,76,E,1.0,0,0,76
Swain,BOT,75,Q,1.0,75,0,0
KogMaw,BOT,74,W,0.797,2,59,13
Varus,BOT,71,Q,0.775,55,16,0
Kalista,BOT,68,E,0.985,1,0,67
Karthus,BOT,66,Q,1.0,66,0,0
Corki,BOT,66,Q,0.909,60,0,6
Veigar,BOT,64,Q,1.0,64,0,0
Velkoz,BOT,60,Q,0.967,58,2,0
Vladimir,BOT,53,Q,1.0,53,0,0
Syndra,BOT,53,Q,1.0,53,0,0
Xerath,BOT,52,Q,1.0,52,0,0
Nilah,BOT,43,E,0.512,21,0,22
Viktor,BOT,34,E,0.941,2,0,32
AurelionSol,BOT,28,Q,1.0,28,0,0
Zyra,BOT,25,Q,0.92,23,0,2
Katarina,BOT,23,Q,0.565,13,0,10
TahmKench,BOT,17,Q,1.0,17,0,0
Heimerdinger,BOT,13,Q,0.615,8,5,0
Cassiopeia,BOT,11,E,1.0,0,0,11
Locke,BOT,10,Q,1.0,10,0,0
Fiora,BOT,9,Q,1.0,9,0,0
Taliyah,BOT,8,Q,1.0,8,0,0
Yone,BOT,7,Q,1.0,7,0,0
Akshan,BOT,7,Q,1.0,7,0,0
Riven,BOT,7,Q,1.0,7,0,0
Olaf,BOT,7,Q,1.0,7,0,0
Sion,BOT,7,Q,1.0,7,0,0
Ekko,BOT,6,Q,1.0,6,0,0
TwistedFate,BOT,6,Q,0.5,3,1,2
