patch,champion,role,games,winrate
16.10,Ezreal,BOT,57,0.4561
16.10,Ashe,BOT,55,0.4364
16.10,Smolder,BOT,47,0.5106
16.10,Jhin,BOT,45,0.4222
16.10,Caitlyn,BOT,32,0.5
16.10,Kaisa,BOT,32,0.4688
16.10,Senna,BOT,27,0.6667
16.10,Yunara,BOT,22,0.6364
16.10,Vayne,BOT,22,0.5
16.10,Draven,BOT,21,0.381
16.10,Tristana,BOT,21,0.6667
16.10,Jinx,BOT,20,0.5
16.10,Lucian,BOT,20,0.3
16.10,Sivir,BOT,14,0.6429
16.10,Twitch,BOT,14,0.5714
16.10,Zeri,BOT,14,0.3571
16.10,Xayah,BOT,14,0.5714
16.10,Samira,BOT,13,0.3846
16.10,Vladimir,BOT,12,0.75
16.10,Varus,BOT,11,0.5455
16.10,Ziggs,BOT,11,0.5455
16.10,MissFortune,BOT,10,0.5
16.10,Seraphine,BOT,9,0.4444
16.10,Yasuo,BOT,9,0.3333
16.10,Brand,BOT,9,0.7778
16.10,Lux,BOT,8,0.25
16.10,Aphelios,BOT,8,0.5
16.10,Veigar,BOT,7,0.4286
16.10,AurelionSol,BOT,5,0.8
16.10,Corki,BOT,5,0.4
16.10,Mel,BOT,5,0.6
16.10,KogMaw,BOT,4,0.5
16.10,Kennen,BOT,3,0.6667
16.10,Hwei,BOT,3,0.3333
16.10,TahmKench,BOT,3,0.3333
16.10,Cassiopeia,BOT,3,0.6667
16.10,Xerath,BOT,3,1.0
16.10,Velkoz,BOT,2,1.0
16.10,Karthus,BOT,2,0.5
16.10,Swain,BOT,2,0.0
16.10,Kalista,BOT,2,0.5
16.10,Nilah,BOT,2,0.5
16.10,Zyra,BOT,2,0.0
16.10,Yone,BOT,1,1.0
16.10,Ekko,BOT,1,1.0
16.10,Ivern,BOT,1,1.0
16.10,Viktor,BOT,1,0.0
16.10,Zilean,BOT,1,0.0
16.10,Katarina,BOT,1,1.0
16.10,Sona,BOT,1,0.0
16.10,Akshan,BOT,1,1.0
16.10,Graves,JUNGLE,42,0.5238
16.10,LeeSin,JUNGLE,30,0.6
16.10,JarvanIV,JUNGLE,25,0.44
16.10,Nocturne,JUNGLE,22,0.5455
16.10,Kayn,JUNGLE,22,0.7273
16.10,MasterYi,JUNGLE,21,0.4286
16.10,MonkeyKing,JUNGLE,20,0.6
16.10,Udyr,JUNGLE,19,0.3684
16.10,Talon,JUNGLE,18,0.4444
16.10,Khazix,JUNGLE,18,0.3889
16.10,Hecarim,JUNGLE,18,0.3333
16.10,Belveth,JUNGLE,17,0.5294
16.10,Sylas,JUNGLE,17,0.3529
16.10,Ekko,JUNGLE,17,0.4118
16.10,Shaco,JUNGLE,16,0.25
16.10,Karthus,JUNGLE,15,0.3333
16.10,Viego,JUNGLE,15,0.6667
16.10,XinZhao,JUNGLE,14,0.7143
16.10,Kindred,JUNGLE,13,0.4615
16.10,Naafiri,JUNGLE,13,0.2308
16.10,Ambessa,JUNGLE,12,0.5
16.10,Shyvana,JUNGLE,12,0.4167
16.10,Ivern,JUNGLE,12,0.6667
16.10,Vi,JUNGLE,11,0.5455
16.10,Diana,JUNGLE,11,0.4545
16.10,RekSai,JUNGLE,11,0.6364
16.10,Lillia,JUNGLE,10,0.7
16.10,Rengar,JUNGLE,10,0.6
16.10,FiddleSticks,JUNGLE,8,0.625
16.10,Evelynn,JUNGLE,8,0.5
16.10,Nunu,JUNGLE,8,0.375
16.10,Briar,JUNGLE,8,0.75
16.10,Jayce,JUNGLE,7,0.4286
16.10,Zac,JUNGLE,7,0.2857
16.10,Zed,JUNGLE,7,0.2857
16.10,Qiyana,JUNGLE,6,0.6667
16.10,Elise,JUNGLE,6,0.8333
16.10,Jax,JUNGLE,5,0.6
16.10,Amumu,JUNGLE,5,0.4
16.10,Pantheon,JUNGLE,5,0.4
16.10,Olaf,JUNGLE,4,0.75
16.10,Aatrox,JUNGLE,4,0.0
16.10,Warwick,JUNGLE,4,0.5
16.10,Nasus,JUNGLE,4,0.25
16.10,Nidalee,JUNGLE,4,0.5
16.10,Rammus,JUNGLE,4,0.75
16.10,Fizz,JUNGLE,3,0.3333
16.10,Sejuani,JUNGLE,3,0.3333
16.10,Quinn,JUNGLE,3,0.0
16.10,Trundle,JUNGLE,3,0.3333
16.10,Darius,JUNGLE,3,0.6667
16.10,Singed,JUNGLE,3,0.0
16.10,Vayne,JUNGLE,3,1.0
16.10,Zyra,JUNGLE,3,1.0
16.10,Rumble,JUNGLE,3,0.6667
16.10,Zaahen,JUNGLE,2,0.0
16.10,Volibear,JUNGLE,2,0.5
16.10,Morgana,JUNGLE,2,0.5
16.10,Taliyah,JUNGLE,2,1.0
16.10,Gragas,JUNGLE,2,1.0
16.10,DrMundo,JUNGLE,2,0.5
16.10,Gwen,JUNGLE,2,0.5
16.10,Skarner,JUNGLE,2,1.0
16.10,Malphite,JUNGLE,2,1.0
16.10,Brand,JUNGLE,2,0.5
16.10,Riven,JUNGLE,1,1.0
16.10,Chogath,JUNGLE,1,0.0
16.10,Gnar,JUNGLE,1,1.0
16.10,Kaisa,JUNGLE,1,0.0
16.10,Teemo,JUNGLE,1,1.0
16.10,Garen,JUNGLE,1,0.0
16.10,Yasuo,MID,32,0.4688
