patch,champion,role,opponent,games,wins,winrate
16.4,Aatrox,BOT,Caitlyn,1,0,0.0
16.4,Ahri,BOT,Hwei,1,0,0.0
16.4,Ahri,BOT,Kaisa,1,0,0.0
16.4,Akshan,BOT,MissFortune,2,2,1.0
16.4,Akshan,BOT,Swain,1,1,1.0
16.4,Akshan,BOT,Tristana,1,0,0.0
16.4,Akshan,BOT,Mel,1,1,1.0
16.4,Ambessa,BOT,Yunara,1,0,0.0
16.4,Anivia,BOT,Brand,1,1,1.0
16.4,Anivia,BOT,Senna,1,0,0.0
16.4,Aphelios,BOT,Jinx,13,8,0.6154
16.4,Aphelios,BOT,Yunara,11,3,0.2727
16.4,Aphelios,BOT,Caitlyn,11,2,0.1818
16.4,Aphelios,BOT,Lucian,10,5,0.5
16.4,Aphelios,BOT,Jhin,10,5,0.5
16.4,Aphelios,BOT,Ashe,9,3,0.3333
16.4,Aphelios,BOT,Twitch,9,6,0.6667
16.4,Aphelios,BOT,Ezreal,8,3,0.375
16.4,Aphelios,BOT,Smolder,8,4,0.5
16.4,Aphelios,BOT,Kaisa,7,5,0.7143
16.4,Aphelios,BOT,Corki,6,3,0.5
16.4,Aphelios,BOT,Xayah,5,2,0.4
16.4,Aphelios,BOT,Yasuo,4,2,0.5
16.4,Aphelios,BOT,Senna,4,0,0.0
16.4,Aphelios,BOT,Vayne,3,3,1.0
16.4,Aphelios,BOT,Samira,3,1,0.3333
16.4,Aphelios,BOT,Seraphine,3,1,0.3333
16.4,Aphelios,BOT,Draven,3,1,0.3333
16.4,Aphelios,BOT,Zeri,2,2,1.0
16.4,Aphelios,BOT,Sivir,2,0,0.0
16.4,Aphelios,BOT,Veigar,2,0,0.0
16.4,Aphelios,BOT,Varus,2,1,0.5
16.4,Aphelios,BOT,Mel,2,1,0.5
16.4,Aphelios,BOT,Nilah,2,1,0.5
16.4,Aphelios,BOT,MissFortune,2,1,0.5
16.4,Aphelios,BOT,Brand,2,0,0.0
16.4,Aphelios,BOT,Rengar,1,1,1.0
16.4,Aphelios,BOT,Syndra,1,1,1.0
16.4,Aphelios,BOT,Lux,1,0,0.0
16.4,Aphelios,BOT,Katarina,1,1,1.0
16.4,Aphelios,BOT,Taliyah,1,0,0.0
16.4,Aphelios,BOT,Ziggs,1,1,1.0
16.4,Aphelios,BOT,Tristana,1,0,0.0
16.4,Aphelios,BOT,Viktor,1,1,1.0
16.4,Aphelios,BOT,KogMaw,1,1,1.0
16.4,Aphelios,BOT,Hwei,1,0,0.0
16.4,Aphelios,BOT,AurelionSol,1,1,1.0
16.4,Ashe,BOT,Caitlyn,22,9,0.4091
16.4,Ashe,BOT,Jinx,18,8,0.4444
16.4,Ashe,BOT,Kaisa,14,7,0.5
16.4,Ashe,BOT,Jhin,12,7,0.5833
16.4,Ashe,BOT,Ezreal,11,6,0.5455
16.4,Ashe,BOT,Yunara,9,6,0.6667
16.4,Ashe,BOT,Aphelios,9,6,0.6667
16.4,Ashe,BOT,Corki,7,3,0.4286
16.4,Ashe,BOT,Lucian,7,5,0.7143
16.4,Ashe,BOT,Sivir,7,2,0.2857
16.4,Ashe,BOT,Draven,6,2,0.3333
16.4,Ashe,BOT,Veigar,5,2,0.4
16.4,Ashe,BOT,Tristana,5,3,0.6
16.4,Ashe,BOT,MissFortune,4,3,0.75
16.4,Ashe,BOT,KogMaw,4,2,0.5
16.4,Ashe,BOT,Twitch,4,2,0.5
16.4,Ashe,BOT,Smolder,4,2,0.5
16.4,Ashe,BOT,Xayah,4,2,0.5
16.4,Ashe,BOT,Varus,4,1,0.25
16.4,Ashe,BOT,Ziggs,3,0,0.0
16.4,Ashe,BOT,Vayne,2,1,0.5
16.4,Ashe,BOT,Senna,2,1,0.5
16.4,Ashe,BOT,AurelionSol,2,1,0.5
16.4,Ashe,BOT,Yasuo,2,0,0.0
16.4,Ashe,BOT,Karthus,2,1,0.5
16.4,Ashe,BOT,Zeri,2,2,1.0
16.4,Ashe,BOT,Samira,2,1,0.5
16.4,Ashe,BOT,Chogath,1,0,0.0
16.4,Ashe,BOT,Cassiopeia,1,0,0.0
16.4,Ashe,BOT,Hwei,1,0,0.0
