patch,champion,role,games,winrate
16.12,Aatrox,TOP,42000,0.510
16.12,Darius,TOP,51000,0.518
16.12,Garen,TOP,60000,0.515
16.12,Malphite,TOP,38000,0.508
16.12,LeeSin,JUNGLE,72000,0.497
16.12,Cassiopeia,MID,21000,0.512
16.12,Orianna,MID,33000,0.505
16.12,Syndra,MID,29000,0.500
16.12,Lux,MID,40000,0.507
16.12,AurelionSol,MID,90,0.560
16.12,Ezreal,BOT,88000,0.489
16.12,Caitlyn,BOT,84000,0.503
16.12,Jinx,BOT,79000,0.514
16.12,Ashe,BOT,61000,0.512
16.12,Brand,SUPPORT,25000,0.505
16.12,Thresh,SUPPORT,66000,0.492
16.12,Nami,SUPPORT,31000,0.508
16.12,Sona,SUPPORT,22000,0.520
16.13,Aatrox,TOP,44000,0.498
16.13,Darius,TOP,50000,0.520
16.13,Garen,TOP,59000,0.518
16.13,Malphite,TOP,37000,0.511
16.13,LeeSin,JUNGLE,70000,0.501
16.13,Cassiopeia,MID,20000,0.502
16.13,Orianna,MID,32000,0.509
16.13,Syndra,MID,28000,0.503
16.13,Lux,MID,43000,0.518
16.13,AurelionSol,MID,110,0.545
16.13,Ezreal,BOT,91000,0.503
16.13,Caitlyn,BOT,83000,0.506
16.13,Jinx,BOT,80000,0.517
16.13,Ashe,BOT,60000,0.515
16.13,Brand,SUPPORT,27000,0.520
16.13,Thresh,SUPPORT,65000,0.495
16.13,Nami,SUPPORT,30000,0.512
16.13,Sona,SUPPORT,21000,0.523
